Element,LOCALITY,STATE,TOPOSHEET,LATITUDE,LONGITUDE,COMMODITY,HOSTROCK,MORPHOGENESIS,FORMATION,METALLOGENESIS,LATDD,LONDD
Iron,MALANGTOLI,ORISSA,73 F,22 05N,85 20E,Iron,"BHJ,SHALE",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.,NOAMUNDI-JAMDA SECTOR,22.08333333333333,85.33333333333333
Iron,NUIA,ORISSA (?),73 F,22 09 22 10N,85 20E,Iron,"SHALE,BMQ,TUFF,META VOLCANICS",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.,NOAMUNDI-JAMDA SECTOR,,85.33333333333333
Iron,NUGGIHALLI,KARNATAKA,57 C,13 00 45 N,76 26 00 E,Iron,ULTRABASICS,CONCORDANT-MAGMATIC,NUGGIHALLI SCHIST,NUGGIHALLI BELT,13.0125,76.43333333333334
Iron,RAMANDURG,KARNATAKA,57 A,15 10 15 12N,76 22 76 26E,Iron,METASEDIMENTS-METAVOLCANICS,STRATABOUND-CONCORDANT,EASTERN GREENSTONE,RAMANDURG RANGE(SHIMOGA SCHIST) BELT,,
Iron,ROWGHAT,CHATTISGARH,65 E,19 45 56 N,81 05 13 E,Iron,"BHQ,METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,BAILADILA Gp.,ROWGHAT BELT,19.765555555555554,81.08694444444444
Iron,HALKUNDI-HONNAHALI,KARNATAKA,57 A,15 05 06 N,76 47 53 E,Iron,"BHQ,METAVOLCANICS,METAARGILLITE",VOLCANOSEDIMENTARY-BEDDED,EASTERN GREENSTONE,SANDUR BELT-BELLARY SECTOR,15.085,76.79805555555555
Iron,BELEGAL-HARAGONDONA,KARNATAKA,57 A,15 04 07 N,76 40 45 E,Iron,"BHQ,METAVOLCANICS,METAPELITE",VOLCANOSEDIMENTARY-BEDDED,EASTERN GREENSTONE,SANDUR BELT-BTV RANGE,15.06861111111111,76.67916666666667
Iron,VITTALPURAM,KARNATAKA,57 A,15 10 N,76 30 E,Iron,"BHQ,METAVLCANICS,METAPELITE",VOLCANOSEDIMENTARY-BEDDED,EASTERN GREENSTONE,SANDUR BELT-BTV RANGE,15.166666666666666,76.5
Iron,DONIMALAI,KARNATAKA,57 A,15 02 05 N,76 36 38 E,Iron,"BHQ,METAPELITE,METAVOLCANICS",BEDDED,DHARWAR(SANDUR SCH.),SANDUR BELT-KUMARSWAMI-DONIMAL,15.03472222222222,76.61055555555555
Iron,KALLAHALLI,KARNATAKA,57 A,15 13 N,76 25 E,Iron,"BHQ,METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,EASTERN GREENSTONE,SANDUR SCHIST BELT-NEB RANGE,15.216666666666669,76.41666666666667
Iron,KUMARSWAMI,"KARNATAKA, A.P","57 A, 57 B",14 55 15 02N,76 55E,Iron,"BHQ,METAPELITE,METAVOLCANICS",BEDDED,DHARWAR(SANDUR),SANDUR-KUMARSWAMI-DONIMALAI RANGE,,76.91666666666667
Iron,NAVALUTTI,KARNATAKA,57 A,15 25 N,76 38 E,Iron,"BHQ,METAPELITE,METAVOLCANICS(SANDUR SCH)",VOLCANOSEDIMENTARY-BEDDED,E.GREENSTONE BELT,SANDUR-KUMARSWAMI-DONIMALAI RANGE,15.416666666666666,76.63333333333334
